AREA;Regione;prov;2021_CodCom;NTN_2021_Uffici;NTN_2021_Negozi_Lab;NTN_2021_Depositi_Comm_Autorimesse;NTN_2021_TCO_B04;NTN_2021_TCO_D02;NTN_2021_TCO_D05;NTN_2021_TCO_D08;NTN_2021_PRO;NTN_2021_AGR;;
Centro;Toscana;SI;C172;0;1;9;0;0;0;0;1;0;;
Nord Ovest;Piemonte;CN;C173;0;1;11;0;0;0;0;0;0;;
Centro;Toscana;PI;C174;0;1;8;0;0;0;0;0;1;;
Sud;Molise;CB;C175;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;C176;0;0;7;0;0;0;0;0;0;;
Centro;Lazio;FR;C177;0;0;2;0;0;0;0;5;0;;
Sud;Campania;CE;C178;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;C181;0;1;6;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;C184;0;0;0;0;0;0;0;1;0;;
Nord Est;Emilia-Romagna;BO;C185;2;4;4,01;0;0;0;1;9;1;;
Nord Ovest;Lombardia;SO;C186;0;0;6,66;0;0;0;0;0;0;;
Nord Ovest;Lombardia;LC;C187;0;3;4,72;0;0;0;0;1,05;0;;
Sud;Campania;NA;C188;0;5;17,06;0;0;0;0;0;0;;
Nord Est;Veneto;TV;C190;0;6,25;16,32;0;0;0;0;3;0;;
Nord Ovest;Lombardia;MN;C195;0;4,5;15;0;0;0;1;3;2;;
Sud;Molise;CB;C197;0;1;2;0;0;0;0;0;0;;
Sud;Puglia;FG;C198;0;0;2;0;0;0;0;0;0;;
Sud;Basilicata;PZ;C199;0;1;3;0;0;0;0;0,06;0;;
Sud;Molise;IS;C200;0;0;0;0;0;0;0;0;0;;
Sud;Basilicata;PZ;C201;0;0;3;0;0;0;0;0;0;;
Sud;Puglia;FG;C202;0;0;4,5;0;0;0;0;0;0;;
Centro;Lazio;RM;C203;0;4;12,68;0;0;0;0;2;0;;
Nord Est;Emilia-Romagna;BO;C204;4,5;11;9,5;0;0;0;1;10;4;;
Nord Ovest;Piemonte;CN;C205;0;0;1;0;0;0;0;0;1;;
Nord Ovest;Lombardia;CO;C206;0;0;0;0;0;0;0;1;0;;
Nord Est;Veneto;RO;C207;0;6,67;3,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;C208;2;2;6,52;0;0;0;2;5;2;;
Sud;Basilicata;PZ;C209;0;1;4;0;0;0;0;0;0;;
Isole;Sicilia;ME;C210;0;0;3;0;0;0;0;0;0;;
Sud;Campania;CE;C211;0;1;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;C213;0;1;1,5;0;0;0;0;1;0;;
Nord Ovest;Piemonte;CN;C214;0;0;0;0;0;0;0;0;0;;
Nord Est;Veneto;RO;C215;0;0;7;0;0;0;0;0;5;;
Nord Est;Friuli- Venezia Giulia;PN;C217;0;0;2;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;RE;C218;1;3;11;0;0;0;0;2,75;1;;
Nord Est;Emilia-Romagna;RE;C219;1;8,75;36,26;0;0;0;2;4,33;7,5;;
Nord Ovest;Lombardia;CO;C220;0;0,5;0;0;0;0;0;0;0;;
Sud;Puglia;FG;C222;0;0;6;0;0;0;0;1;0;;
Centro;Lazio;FR;C223;0;0;1,22;0;0;0;0;0;0;;
Centro;Lazio;RI;C224;0;1;2;0;0;0;0;0;0;;
Nord Est;Veneto;VR;C225;1;8,22;23,67;0;4;0;0;0;0;;
Nord Ovest;Piemonte;AT;C226;1;0;3;0;0;0;0;0;0;;
Centro;Toscana;SI;C227;1;6;9;0;0;0;0;0,05;1;;
Nord Ovest;Lombardia;LO;C228;0;1;1;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;C229;0;1;9;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;C230;0;0;5;0;0;1;0;0;0;;
Sud;Campania;SA;C231;6;7;2;0;0;0;0;1;0;;
Nord Ovest;Piemonte;AT;C232;3;0;14;0;0;0;0;1;0;;
Sud;Campania;SA;C235;0;0;1;0;0;0;0;6;0;;
Centro;Toscana;LU;C236;3;4,09;3,5;0;0;0;0;0;0;;
Centro;Lazio;RM;C237;1;9,5;7;0;0;0;2;1;0;;
Nord Ovest;Liguria;SP;C240;0;0;11;0;0;0;0;2;0;;
Nord Ovest;Piemonte;TO;C241;0;0;1;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;MO;C242;4;10,63;23,8;0;0;0;1;10,5;0;;
Nord Ovest;Piemonte;AL;C243;0;2;8,08;0;0;0;0;6;4;;
Centro;Toscana;PI;C244;0;2;16,5;0;0;0;0;0;0;;
Sud;Campania;BN;C245;0;0;2;0;0;0;0;0;4;;
Sud;Molise;IS;C246;0;0;1;0;0;0;0;0;0;;
Sud;Molise;IS;C247;0;0;0;0;0;0;0;0;0;;
Centro;Marche;AN;C248;0;2;9;0;0;0;0;0;1;;
Sud;Campania;BN;C250;0;0;1;0;0;0;0;0;0;;
Centro;Marche;MC;C251;5;3;9,38;0;0;0;0;2;0;;
Centro;Umbria;PG;C252;0;0;12,14;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;C253;0;0;0,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C255;1;2;2;0;0;0;0;2;0;;
Sud;Campania;SA;C259;4;7;33,35;0;0;0;2;1;0;;
Nord Est;Emilia-Romagna;PC;C261;4,5;5;16,29;0;0;0;2;17;3;;
Sud;Campania;SA;C262;0;0;4,5;0;0;0;0;0;0;;
Centro;Toscana;AR;C263;1;4;5,73;0;0;0;0;4;1;;
Nord Est;Emilia-Romagna;BO;C265;2;5;43,66;0;2;0;3;29;15,04;;
Centro;Lazio;RM;C266;0;1;0;0;0;0;0;0;0;;
Centro;Marche;MC;C267;0;0;4;0;0;1;0;0;0;;
Centro;Lazio;RI;C268;0;0;2,33;0;0;0;0;0;0;;
Centro;Lazio;VT;C269;0;1,5;10,05;0;0;0;0;0;2;;
Sud;Molise;IS;C270;0;0;0;0;0;0;0;0;0;;
Sud;Basilicata;PZ;C271;0;0;0;0;0;0;0;0;0;;
Isole;Sardegna;SS;C272;2;4;19;0;0;0;0;3;0;;
Nord Ovest;Lombardia;VA;C273;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;C274;0;0;1;0;0;0;0;0;0;;
Isole;Sicilia;AG;C275;0;4;14;0;0;0;0;0;0;;
Nord Ovest;Liguria;SV;C276;0;0;2;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;C278;0;0;1;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;C279;0;0;5;0;0;0;0;0;0;;
Sud;Campania;BN;C280;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;C282;0;1;4,5;0;0;0;0;1;0;;
Sud;Campania;AV;C283;0;2;4,33;0;0;0;0;0;0;;
Sud;Campania;BN;C284;0;0;2;0;0;0;0;0;1;;
Sud;Calabria;RC;C285;0;1;10;0;0;0;0;0;0;;
Isole;Sicilia;TP;C286;3;10,5;68,48;0;0;0;0;3;0;;
Nord Est;Emilia-Romagna;MO;C287;2;10;42;0;0;0;5;6;2;;
Nord Est;Emilia-Romagna;PC;C288;0;3;7;0;0;0;0;1;0;;
Centro;Umbria;TR;C289;0;0;17,75;0;0;0;0;1;0;;
Nord Ovest;Lombardia;CR;C290;0;0;0;0;0;0;0;0;0;;
Sud;Campania;CE;C291;1;13;30,17;0;0;0;1;1;1;;
Nord Est;Emilia-Romagna;BO;C292;2,81;7;22,66;0;0;0;1;9,01;4;;
Nord Ovest;Lombardia;BS;C293;1;4;30,5;0;0;0;4;17,5;0;;
Nord Ovest;Valle d'Aosta;AO;C294;0;0;3,5;0;0;0;1;1;0;;
Nord Est;Emilia-Romagna;BO;C296;1;4,5;18,12;0;0;0;0;0,5;0,8;;
Isole;Sicilia;CT;C297;0;0;23,95;0;0;0;0;0;1;;
Sud;Abruzzo;CH;C298;0;1;1,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;C300;0;1;21,22;0;0;0;1;5;0;;
Sud;Calabria;CS;C301;0;0;1,5;0;0;0;0;0;0;;
Nord Ovest;Liguria;GE;C302;0;2;3;0;0;0;3;0;0;;
Centro;Toscana;LU;C303;0;5;4,45;0;0;0;0;0,5;0;;
Nord Ovest;Lombardia;LO;C304;0;1;5,5;0;0;0;0;0;0;;
Sud;Campania;SA;C306;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C307;1;3;27,28;0;0;0;0;3;0;;
Sud;Abruzzo;PE;C308;0;0;2;0;0;0;0;0;0;;
Centro;Umbria;PG;C309;3;2,41;70,43;0;0;0;2;5;0,81;;
Centro;Toscana;GR;C310;0,06;9,05;9,63;0;0;0;2;2,3;4;;
Sud;Abruzzo;TE;C311;0;1;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MN;C312;16;11,25;37;0;0;1;1;5,45;1,5;;
Centro;Toscana;SI;C313;0;4;12,75;0;0;0;1;0;1;;
Nord Ovest;Piemonte;CN;C314;0;1;4;0;0;0;0;0;0;;
Centro;Lazio;VT;C315;0;4;8,33;0;0;0;0;0;0;;
Sud;Abruzzo;TE;C316;2;1;7,5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;C317;0;2,5;5;1;0;0;0;0;0,31;;
Centro;Toscana;AR;C318;0;1;2,01;0;0;0;0;3;0;;
Centro;Toscana;AR;C319;3;7;29,17;0;0;0;0;0;1,83;;
Centro;Marche;AP;C321;0;1;4,83;0;0;0;0;0;0;;
Sud;Abruzzo;TE;C322;0;0;1;0;0;0;0;0;1;;
Nord Ovest;Piemonte;CN;C323;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C324;1;1;11,08;0;0;0;0;2,03;0;;
Nord Ovest;Lombardia;SO;C325;0;0;9,83;0;0;0;2;0;0;;
Nord Est;Friuli- Venezia Giulia;UD;C327;0;1;11,67;0;0;0;0;1;1;;
Nord Ovest;Lombardia;LO;C329;0;1;6;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;C330;4;0;13,43;0;0;0;0;1;1;;
Centro;Marche;AP;C331;0;1;10;0;0;0;0;1;0;;
Nord Ovest;Lombardia;BS;C332;1;6,67;10,67;0;0;0;0;5;0;;
Sud;Puglia;LE;C334;0;0;5;0;0;0;0;0;0;;
Sud;Puglia;LE;C335;1;0;7;0;0;0;0;0;0;;
Sud;Puglia;LE;C336;0;0,5;10,69;0;2,38;0;0;1;0;;
Nord Ovest;Lombardia;BG;C337;0;2;1,03;0;0;0;0;0;0;;
Centro;Lazio;FR;C338;1;1;0;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;FO;C339;1;1;12,5;0;0;0;0;3;1;;
Centro;Lazio;FR;C340;0;2;1;0;0;0;0;1;0;;
Isole;Sicilia;AG;C341;0;1;14,67;0;0;0;0;0;0;;
Isole;Sicilia;EN;C342;1,24;8,9;31,33;0;0;0;2;5;0,5;;
Nord Ovest;Lombardia;VA;C343;1;1;8,33;0;0;0;0;0,01;0;;
Isole;Sicilia;PA;C344;0;5;6,83;0;0;0;0;4;0;;
Sud;Basilicata;PZ;C345;0;0;3;0;0;0;0;0;0;;
Sud;Molise;CB;C346;0;0;3;0;0;0;0;0;0;;
Isole;Sicilia;ME;C347;0;0;2,7;0;0;0;0;0;0;;
Sud;Calabria;CS;C348;0;0;0;0;0;0;0;0;0;;
Sud;Calabria;CS;C349;8;12,25;38,5;0;0;0;1;3;0;;
Isole;Sicilia;CT;C351;41,08;255,4;223,85;0;3;2;16,06;28,56;6;;
Sud;Calabria;CZ;C352;29;54,01;87,79;0;0;0;9,5;7,17;0;;
Isole;Sicilia;EN;C353;1;0;1;0;0;0;0;0;0;;
Sud;Abruzzo;PE;C354;0;0;0;0;0;0;0;0;0;;
Isole;Sicilia;AG;C356;0;3;15,4;0;0;0;0;1;0;;
Nord Est;Emilia-Romagna;RN;C357;1;14,5;22,95;0;7;0;1;6,77;0;;
Sud;Campania;BN;C359;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;C360;0;0,67;9,11;0;0;0;1;0;1;;
Sud;Campania;SA;C361;3;16,75;41,8;0;0;0;1;2;0;;
Nord Ovest;Piemonte;BI;C363;0;3;16,5;0;0;0;0,5;1;0;;
Nord Ovest;Piemonte;NO;C364;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Piemonte;NO;C365;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C369;0;1;10;0;0;0;0;0;0;;
Nord Est;Veneto;VR;C370;1;4;7,54;0;0;0;0;2;1;;
Nord Ovest;Piemonte;CN;C375;0;1;1;0;0;0;0;1;0;;
Nord Ovest;Piemonte;CN;C376;0;0;21,66;0;0;0;0;6;1;;
Sud;Puglia;LE;C377;2;6;10,67;0;0;0;2;7;0;;
Nord Ovest;Piemonte;NO;C378;0;1;3,33;0;0;0;0;1;0;;
Nord Ovest;Lombardia;CO;C381;0;0;0,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;C382;2;4;10,17;0;0;0;0;3,46;0;;
Nord Est;Veneto;VE;C383;20;17,86;21,5;0;0;0;0;5,44;0,17;;
Nord Est;Veneto;TV;C384;0;0;6;0;0;0;0;0;0;;
Nord Est;Friuli- Venezia Giulia;PN;C385;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;C387;0;0;3,33;0;0;0;0;0;0;;
Nord Est;Veneto;VE;C388;20;41;49,41;1;10,99;0;5;11,57;2;;
Nord Est;Friuli- Venezia Giulia;UD;C389;0;0;0,66;0;0;0;0;0;1;;
Centro;Lazio;RM;C390;1;7;17,9;0;0;0;0;0;0;;
Nord Ovest;Lombardia;LO;C394;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;C395;0;5;13,06;0;0;0;1;5,47;0;;
Nord Ovest;Lombardia;BG;C396;1;0;10;0;0;0;0;2,5;0;;
Nord Est;Emilia-Romagna;MO;C398;1,25;9,91;3,88;0;0;0;2;6,86;0;;
Nord Ovest;Piemonte;TO;C404;1;0;32,13;0;0;0;1;1,67;4,22;;
Nord Est;Emilia-Romagna;RE;C405;3;17;12;0;0;0;1;6;0;;
Nord Ovest;Lombardia;MN;C406;0;1;11,5;0;0;0;0;2,07;4;;
Centro;Toscana;AR;C407;1;5,83;9,87;0;0;0;0;6;0;;
Nord Ovest;Lombardia;BS;C408;2;5;16,59;0;0;0;0;11;1,59;;
Nord Ovest;Lombardia;VA;C409;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C410;0;1;11,31;0;0;0;0;3;0;;
Nord Est;Veneto;VR;C412;0;0;6;0;0;0;0;0;0;;
Centro;Lazio;FR;C413;3;8,33;11;0;0;0;0;8,5;0;;
Nord Ovest;Lombardia;PV;C414;0;0;3;0;0;0;0;0;0;;
Centro;Toscana;LI;C415;8;23,5;43,58;0;1;0;12;4,08;0;;
Nord Ovest;Lombardia;BS;C417;1;0;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;SO;C418;0;0;7,83;0;0;0;0;0;0;;
Isole;Sicilia;PA;C420;1;0;4;0;0;0;0;1;0;;
Isole;Sicilia;PA;C421;0;8,9;39,56;0;1;0;1;1;0;;
Nord Est;Veneto;VE;C422;0;1;12,2;0;0;0;1;6;0,5;;
Sud;Puglia;BR;C424;0;10;28,05;0;0;0;1;2;0;;
Sud;Abruzzo;AQ;C426;1;5;22,83;0;0;0;1;5;0;;
Sud;Abruzzo;CH;C428;0;0;3;0;0;0;0;0;0;;
Sud;Puglia;FG;C429;0;0;3;0;0;0;0;0;1;;
Sud;Calabria;CS;C430;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;C432;0;0;4;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CR;C435;0;0;2;0;0;0;0;0;0;;
Sud;Puglia;BA;C436;0;0;9;0;0;0;0;1;0;;
Sud;Calabria;CS;C437;0;1;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;C438;0;0;1;0;0;0;0;0;2;;
Nord Ovest;Lombardia;BS;C439;0;2;10;0;0;0;1;0;1;;
Nord Ovest;Piemonte;AT;C440;0;0;3;0;0;0;0;0;1;;
Nord Ovest;Piemonte;CN;C441;0;0;0;0;0;0;0;0;0;;
Sud;Puglia;FG;C442;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Liguria;SV;C443;0;3;7,83;0;1;0;1;6;0;;
Sud;Campania;SA;C444;0;0;3;0;0;0;0;0;0;;
Centro;Lazio;VT;C446;0;1;3;0;0;0;1;1;0;;
Centro;Lazio;VT;C447;0;0;8,33;0;0;0;0;0;0;;
Sud;Puglia;BR;C448;0;0;5;0;0;0;0;1;0;;
Sud;Abruzzo;TE;C449;0;0;7;0;0;0;0;3;1;;
Sud;Calabria;CZ;C453;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C456;0;0;7;0;0;0;0;2;0;;
Nord Ovest;Lombardia;BG;C457;1;1;6,5;0;0;0;0;0;0;;
Nord Est;Veneto;BL;C458;0;0,01;5,76;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C459;0;1;16,17;0;0;0;0;0;0;;
Nord Est;Veneto;RO;C461;0;0;1;0;0;0;0;1;1;;
Nord Ovest;Liguria;SV;C463;0;1,5;17,5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;C466;0;8;25,2;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;FE;C469;16,5;33;31,26;0;0;0;0;7,05;4,13;;
Sud;Campania;SA;C470;0;1;9,5;0;1,6;0;2;0;0;;
Isole;Sicilia;EN;C471;0;2;13,5;0;0;0;0;13;0;;
Sud;Calabria;CZ;C472;0;0;1;0;0;0;0;0;0;;
Sud;Abruzzo;PE;C474;0;6;17,42;0;0;0;0;1;0;;
Sud;Campania;BN;C476;0;0;3;0;0;0;0;2;0;;
Nord Ovest;Piemonte;VB;C478;0;0;1,46;0;0;0;0;0;0;;
Centro;Lazio;FR;C479;2;1;1;0;0;0;0;4;0;;
Isole;Sicilia;EN;C480;0;3;6;0;0;0;0;0;0;;
Nord Ovest;Liguria;GE;C481;0;3;7,5;0;0;0;0;1;0;;
Nord Ovest;Lombardia;CO;C482;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Piemonte;NO;C483;0;2;7,5;0;0;0;1;0;1;;
Nord Ovest;Lombardia;PV;C484;0;1;1;0;0;0;0;1;0;;
Sud;Campania;SA;C485;0;0;1,33;0;0;0;0;0;0;;
Sud;Molise;CB;C486;0;0;5;0;0;0;0;1;0;;
Nord Ovest;Piemonte;TO;C487;0;0;3;0;0;0;0;1;0;;
Sud;Molise;CB;C488;0;1;2,5;0;0;0;0;0;0;;
Sud;Calabria;CS;C489;0;0;1;0;0;0;0;0;1;;
Sud;Abruzzo;AQ;C492;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;SO;C493;0;0;4;0;0;0;0;0;0;;
Nord Est;Friuli- Venezia Giulia;UD;C494;0;0;3,5;0;0;0;0;0;1;;
Sud;Campania;NA;C495;3;7,17;19,83;0;0;0;0;0;0;;
Isole;Sicilia;PA;C496;1;3;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C497;0;1;2;0;0;0;0;0;0;;
Nord Est;Veneto;VR;C498;5;38,46;64,35;0;0;0;3,3;11;0;;
Nord Est;Veneto;RO;C500;1;3;5;0;0;0;0;3;0;;
Nord Ovest;Lombardia;MN;C502;4;3;14,76;0;0;0;0;1;0;;
Nord Ovest;Piemonte;AL;C503;0;0;3;0;0;0;0;1;0;;
Nord Ovest;Piemonte;CN;C504;0;0;6;0;0;0;0;0;1;;
Nord Ovest;Piemonte;TO;C505;0;0;1,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;C506;0;0;2;0;0;0;0;0,06;0;;
Nord Ovest;Piemonte;AL;C507;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;C508;0;0;2,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;C509;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Liguria;SV;C510;0;5;6,5;0;0;0;1;0;0;;
Nord Ovest;Liguria;IM;C511;0;3;6;0;1;0;0;0;0;;
Nord Ovest;Lombardia;MI;C512;1;3,33;9,92;0;0;0;0;2,52;0;;
Nord Est;Emilia-Romagna;PC;C513;0;0;1,25;0;0;0;0;0;0;;
Sud;Puglia;FG;C514;7;24,42;114,36;0;0;0;2,52;16;3;;
Sud;Calabria;CS;C515;0;2;2;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CO;C516;0;2;12;0;0;0;1;2;0;;
Sud;Abruzzo;TE;C517;0;1;0;0;0;0;0;0;0;;
Centro;Lazio;RM;C518;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CO;C520;2;6;9,22;0;1;0;0;1,14;0;;
Nord Ovest;Lombardia;LC;C521;1;2;3;1;0;0;1;4;0;;
Nord Ovest;Lombardia;MI;C523;21;14,42;52,92;0;0;0;9;7;2;;
Centro;Marche;AN;C524;0;1;11,5;0;0;0;0;4;0;;
Sud;Campania;BN;C525;0;1;2;0;0;0;0;0;0;;
Centro;Umbria;PG;C527;1;2;1,5;0;0;0;2;0;0;;
Nord Ovest;Piemonte;AT;C528;0;0;1;0;0;0;0;0;0;;
Centro;Toscana;FI;C529;0;4,71;30,31;0;0;0;0;3,33;0;;
Nord Ovest;Piemonte;CN;C530;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;C531;0;0;10;0;0;0;0;0;0;;
Nord Ovest;Piemonte;BI;C532;0;1;3,5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;C533;0;0;0;0;0;0;0;0;0;;
Sud;Molise;IS;C534;0;0;1,06;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;C536;0,78;3,56;3;0;0;0;0;1,78;1,56;;
Nord Ovest;Lombardia;MI;C537;2;10,5;11;0;0;0;0;7,03;0;;
Nord Est;Veneto;VR;C538;2;0;12;0;0;0;0;0;0;;
Sud;Basilicata;PZ;C539;0;0;0;0;0;0;0;0;0;;
Centro;Toscana;FI;C540;1,5;16,67;54,5;0;0;0;1;4;1;;
Nord Ovest;Lombardia;PV;C541;0;0;6;0;0;0;0;3;0;;
Sud;Calabria;CZ;C542;0;0;0;0;0;0;0;0;0;;
Centro;Lazio;RM;C543;0;0;1;0;0;0;0;0;0;;
Nord Est;Veneto;PD;C544;1;2;6,86;0;0;0;1;3;0,66;;
Centro;Lazio;FR;C545;0;4,16;7;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;C547;0;6;28,45;0;0;0;1;3;1;;
Nord Ovest;Piemonte;VC;C548;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;C549;0;0;3,83;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;C550;1;1;9;0;0;0;2;0;0;;
Nord Ovest;Lombardia;PV;C551;1;0;2,5;0;0;0;0;0;0;;
Centro;Lazio;RM;C552;6;20,5;41,89;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;RA;C553;9,5;36,21;37,82;0;9,26;0;18;0,02;2;;
Sud;Calabria;CS;C554;0;0;4;0;0;0;0;0;0;;
Nord Ovest;Lombardia;LO;C555;0;2;4,25;0;0;0;0;0;0;;
Sud;Campania;AV;C557;0;3;11,28;0;0;0;0;0;0;;
Sud;Campania;CE;C558;0;0;2,2;0;0;0;0;0;0;;
Nord Ovest;Liguria;IM;C559;0;1,8;4;0;0;0;0;1;0;;
Sud;Calabria;CS;C560;0;0;1;0;0;0;0;0;0;;
Sud;Campania;CE;C561;6;3;7,47;0;0;0;0;1;0;;
Nord Ovest;Lombardia;LC;C563;0,5;1;3;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C564;0;1;12,51;0;0;0;0;0,04;0;;
Nord Ovest;Lombardia;MI;C565;1;16,5;11,49;0;0;0;1;3;0;;
Nord Ovest;Lombardia;MI;C566;9,5;43,82;69,69;0;0;1;0;14;0;;
Nord Ovest;Piemonte;VB;C567;0;0;0;0;0;0;0;0;0;;
Isole;Sicilia;ME;C568;0;1;5,84;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;C569;1;5;17,34;0;0;0;0;1;0;;
Nord Est;Emilia-Romagna;FO;C573;48,2;59,08;130;1;1;0;22,68;37,91;14,52;;
Nord Est;Emilia-Romagna;FO;C574;6;24,25;24,01;0;10,5;0;4;1,53;1;;
Sud;Campania;AV;C576;0;2;6,04;0;0;0;0;0;0;;
Nord Est;Veneto;BL;C577;1;1;17;0;0;0;1;1;1;;
Nord Ovest;Liguria;IM;C578;0;0;1;0;0;0;0;0;0;;
Nord Est;Veneto;TV;C580;0;0;5,06;0;0;0;0;3;0;;
Sud;Calabria;VV;C581;0;0,5;1,9;0;0;0;0;0;0;;
Centro;Marche;MC;C582;0;0;4;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;C583;0;0;5;0;0;0;0;0;0;;
Sud;Campania;SA;C584;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;C585;0;0;7;0;0;0;0;1;0;;
Centro;Toscana;SI;C587;0;1;8,5;0;0;0;0;0;0;;
Sud;Calabria;CS;C588;0;0;6;0;1;0;1;0;0;;
Nord Ovest;Piemonte;CN;C589;1;4,61;11;0;0;0;0;1;0;;
Nord Ovest;Lombardia;BS;C591;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;C593;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;C594;0;0;6,5;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;C595;0;2;3;0;0;0;0;1;0,5;;
Nord Ovest;Valle d'Aosta;AO;C596;2;0;3,5;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;C598;1;1;13;0;0;0;0;0;1;;
Nord Ovest;Piemonte;CN;C599;1;3;67,42;0;0;0;0;8;2,5;;
Isole;Sardegna;SS;C600;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C604;0;0;2;0;0;0;0;0;0;;
Nord Est;Veneto;VI;C605;2;4,5;19,94;0;0;0;1;7,01;0;;
Sud;Campania;AV;C606;0;0;0;0;0;0;0;0;0;;
Centro;Toscana;SI;C608;1;2,5;8;0;0;0;0;7;0;;
Centro;Toscana;PI;C609;0;4,67;8,5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C610;0;2;14,03;0;0;0;2;3,5;0;;
Isole;Sicilia;RG;C612;0;4,01;6,67;0;0;0;0;3;4;;
Isole;Sardegna;SS;C613;0;0;0,8;0;0;0;0;1;6,83;;
Nord Est;Veneto;TV;C614;1;2;3,3;0;0;0;1;3;2,31;;
Centro;Marche;AN;C615;6;12;19,52;0;0;0;1;2;1;;
Sud;Calabria;CZ;C616;0;3;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;C618;13;10;36,9;0;0;0;0;14,26;0;;
Sud;Basilicata;PZ;C619;0;0;8;0;0;0;0;1;0;;
Sud;Molise;IS;C620;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Liguria;GE;C621;3,5;28;28,5;0;0;0;3;2;0;;
Nord Ovest;Lombardia;SO;C623;1;9;24,55;0;0;0;0;0,08;0;;
Nord Ovest;Piemonte;TO;C624;0;1;8;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C627;5;17;68,88;0;0;1;4;8;1;;
Nord Ovest;Lombardia;SO;C628;0;4;9,3;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;C629;0;0;0;0;0;0;0;0;0;;
