AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Sud;Basilicata;PZ;H646;2;1,96;2,95;4;6;16,91
Centro;Lazio;LT;H647;14;82,58;65,77;36,4;19,58;218,33
Nord Ovest;Lombardia;BS;H650;0;4;8;5;7,5;24,5
Nord Ovest;Lombardia;MN;H652;0;1,67;4,67;4;15,25;25,59
Sud;Campania;SA;H654;0;0;0;0;2;2
Nord Est;Veneto;PD;H655;1;6,5;8,17;10,5;22;48,17
Nord Est;Friuli- Venezia Giulia;PN;H657;3;27;68,75;50,5;69,63;218,88
Centro;Lazio;RM;H658;5;12;7,67;9,5;11,83;46
Isole;Sardegna;NU;H659;0;1;0;1,8;2;4,8
Isole;Sardegna;NU;H661;0;1;0;0;1;2
Nord Ovest;Piemonte;BI;H662;3;3;5,67;5,83;4;21,5
Nord Ovest;Valle d'Aosta;AO;H669;1;10,17;7,5;5;5;28,67
Nord Ovest;Valle d'Aosta;AO;H670;0;0,22;0;1;1;2,22
Nord Ovest;Valle d'Aosta;AO;H671;3;4;3;3;2,5;15,5
Nord Ovest;Valle d'Aosta;AO;H672;1;2;6;0;0;9
Nord Ovest;Valle d'Aosta;AO;H673;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;H674;1,5;16,5;15;4,5;3,5;41
Nord Ovest;Valle d'Aosta;AO;H675;0;3,01;1;0;0;4,01
Nord Ovest;Valle d'Aosta;AO;H676;8;21,22;8,42;7;5;49,64
Nord Ovest;Piemonte;AL;H677;0;0;0;3;4;7
Nord Est;Emilia-Romagna;BO;H678;6;37,28;28;11;18,68;100,96
Nord Ovest;Lombardia;CO;H679;1;3;1;2;1,34;8,34
Nord Ovest;Piemonte;BI;H681;0;1;0;1;2;4
Nord Est;Emilia-Romagna;PR;H682;1;12,5;16;13;18;60,5
Sud;Campania;SA;H683;0;5,5;4,75;7;13,17;30,42
Nord Ovest;Piemonte;TO;H684;2;2;4;2;2,75;12,75
Sud;Campania;SA;H686;3;4,86;1;1;3;12,86
Sud;Basilicata;MT;H687;2;5;4,67;2;1;14,67
Isole;Sicilia;TP;H688;0;1;0,5;2;5;8,5
Nord Est;Veneto;RO;H689;0;0;2;1;4;7
Nord Ovest;Piemonte;VC;H690;0;0;1,5;1;3;5,5
Nord Ovest;Piemonte;TO;H691;0;4,25;3;1;15;23,25
Sud;Molise;CB;H693;2;0,95;1,95;0,5;2;7,4
Nord Ovest;Piemonte;AL;H694;3,89;6;5;3,89;20,66;39,44
Nord Ovest;Piemonte;CN;H695;0;0;4;2;2;8
Nord Ovest;Lombardia;BS;H699;2;5;14,5;11;6;38,5
Isole;Sicilia;TP;H700;5;9;8;9;14,67;45,67
Nord Ovest;Lombardia;LO;H701;0;1,5;11,8;5,5;6,17;24,97
Nord Ovest;Piemonte;TO;H702;0;1,66;4;1,5;5;12,16
Sud;Campania;SA;H703;62,65;322,27;355,19;303,61;190,42;1234,14
Nord Ovest;Piemonte;CN;H704;0;1;1;0;3;5
Nord Est;Veneto;TV;H706;0;11;18;11,89;21,5;62,39
Nord Ovest;Piemonte;VC;H707;0;0;0;0;1;1
Sud;Puglia;LE;H708;0;2,94;9,22;6,78;10,24;29,18
Nord Ovest;Piemonte;CN;H710;1;1;3,1;2;5,67;12,77
Nord Est;Veneto;VR;H712;0;1;3;2,5;5;11,5
Centro;Lazio;RI;H713;0;2;0;0;0;2
Nord Est;Veneto;VR;H714;0;2,44;3,66;4;10,06;20,16
Sud;Abruzzo;PE;H715;2;1;1;1;2;7
Nord Ovest;Piemonte;CN;H716;1;1;1;2;4;9
Nord Ovest;Lombardia;BS;H717;11;60,68;34,42;19,25;29;154,35
Nord Est;Emilia-Romagna;PR;H720;16;73,36;112,83;34,17;56,37;292,73
Nord Ovest;Lombardia;VA;H723;3;3;7;2;6;21
Nord Est;Emilia-Romagna;RN;H724;0;10;11;6,17;6,01;33,18
Nord Ovest;Piemonte;VC;H725;12;6;10;4,17;9;41,17
Nord Ovest;Piemonte;BI;H726;0;1;2,5;1;6,5;11
Nord Ovest;Piemonte;CN;H727;14,84;60,76;68,49;31,43;55,42;230,94
Sud;Puglia;LE;H729;24,45;46;15;12;9,67;107,12
Sud;Basilicata;PZ;H730;5;1;0;1;1;8
Nord Ovest;Lombardia;CR;H731;0;4;1;4;1,5;10,5
Sud;Campania;SA;H732;0;3;2;0;0;5
Sud;Campania;AV;H733;2;2;2;0;1;7
Nord Ovest;Piemonte;TO;H734;1;3;0;0;0;4
Nord Est;Veneto;VE;H735;9,72;36,17;46,75;42,97;34,72;170,33
Nord Ovest;Lombardia;VA;H736;8;24,47;51,84;28,92;34,49;147,72
Isole;Sardegna;CA;H738;0;0;1;2;5,39;8,39
Isole;Sardegna;CA;H739;0;0;0;2;4;6
Isole;Sicilia;AG;H743;3;5;14,5;16;24,89;63,39
Centro;Toscana;PT;H744;1;7;7,67;3,67;9,5;28,84
Centro;Lazio;RM;H745;1;1;1;0;1;4
Nord Ovest;Piemonte;CN;H746;0;0;0;1;0;1
Sud;Puglia;BA;H749;9;10,5;6,92;8,5;8,67;43,59
Nord Ovest;Lombardia;SO;H752;0;3;3;1;5;12
Nord Ovest;Piemonte;TO;H753;3;4;4;2;8;21
Nord Ovest;Piemonte;CN;H755;22;22,67;18,75;2,34;8,67;74,43
Isole;Sardegna;OR;H756;0;0;4;0;5;9
Sud;Puglia;LE;H757;0;1;3;0;4;8
Nord Ovest;Lombardia;CO;H760;1,15;4;0;1;1,08;7,23
Nord Ovest;Liguria;IM;H763;40,2;63,73;8,5;2;1;115,43
Sud;Campania;BN;H764;4;7,67;4,67;1;4;21,34
Sud;Calabria;CS;H765;0;0;0;0,5;0;0,5
Isole;Sardegna;CA;H766;0;0;0;0;0;0
Nord Ovest;Lombardia;CR;H767;0;0;1;1;2,17;4,17
Nord Est;Veneto;RO;H768;0;0;0;2,5;0;2,5
Centro;Marche;AP;H769;70,83;186,58;165,61;77,07;52,1;552,19
Nord Ovest;Piemonte;CN;H770;0;0;1;0;0;1
Nord Ovest;Lombardia;MN;H771;0,5;9;11;6,25;25,05;51,8
Sud;Abruzzo;AQ;H772;6;4;5;1;0,25;16,25
Sud;Abruzzo;AQ;H773;0;0;0;0;0;0
Sud;Calabria;CS;H774;0;0;1;0;1;2
Nord Ovest;Piemonte;TO;H775;7;22;23;20;24,17;96,17
Nord Ovest;Piemonte;VB;H777;0;1;0;3,3;2;6,3
Isole;Sicilia;AG;H778;4;2,5;2;2;2,5;13
Centro;Lazio;FR;H779;0;0;0;0;0;0
Nord Ovest;Liguria;IM;H780;0;4;2;2;2,5;10,5
Nord Est;Veneto;TV;H781;6;34,5;42,5;21,67;40,65;145,32
Sud;Molise;CB;H782;0;1;0;0;0;1
Nord Est;Veneto;VR;H783;14;76,67;90,73;37,05;67,33;285,78
Sud;Abruzzo;CH;H784;2;2,13;1;1,5;2,13;8,76
Sud;Calabria;VV;H785;0;0;3;3;3;9
Nord Ovest;Piemonte;TO;H789;0;5;5;6;19,78;35,78
Centro;Toscana;SI;H790;0;5;4;0;5;14
Centro;Toscana;FI;H791;7,17;33,5;48,58;29,68;47,52;166,45
Isole;Sicilia;CL;H792;11,58;34,79;39,75;38,25;29,36;153,73
Sud;Puglia;LE;H793;2,42;11,64;18;12,67;20,79;65,52
Nord Est;Emilia-Romagna;MO;H794;3;33,5;22,5;8,25;12;79,25
Sud;Basilicata;PZ;H795;0;0;1;0;0;1
Sud;Basilicata;PZ;H796;4;1;3;0;1;9
Isole;Sicilia;PA;H797;2;5;4,92;4;5,78;21,7
Sud;Campania;CE;H798;3;2,89;2;5;18,5;31,39
Nord Ovest;Lombardia;PV;H799;0;0;0;1;1;2
Sud;Campania;SA;H800;6,5;9;14;16,33;9,17;55
Nord Est;Emilia-Romagna;RN;H801;0;28,9;16;3;8,88;56,78
Nord Ovest;Liguria;GE;H802;3;10,5;6;2;4,72;26,22
Nord Ovest;Lombardia;MI;H803;3;29,5;21;14,5;19,5;87,5
Nord Ovest;Piemonte;TO;H804;1;0;1;1,5;1;4,5
Isole;Sicilia;CT;H805;0;2,5;3;0;4;9,5
Sud;Calabria;CS;H806;0;1;0;0;0;1
Sud;Calabria;VV;H807;1;3;4;1;3;12
Sud;Basilicata;PZ;H808;1;2;0;0;0;3
Centro;Marche;PS;H809;1;10;10;6;9,5;36,5
Nord Ovest;Piemonte;AL;H810;0;1;2;2;1;6
Nord Ovest;Piemonte;AT;H811;2;19,43;8;13,83;22;65,26
Nord Ovest;Piemonte;CN;H812;0;2;1,33;2;2;7,33
Nord Ovest;Lombardia;PV;H814;1;1;1;2,5;2,5;8
Nord Ovest;Lombardia;CR;H815;0;2;0;3;1,28;6,28
Nord Est;Friuli- Venezia Giulia;UD;H816;1;6;13,67;19;35,17;74,84
Sud;Calabria;CS;H818;1;2;0;0;3;6
Sud;Abruzzo;AQ;H819;1;0,67;3;0;4;8,67
Nord Ovest;Piemonte;TO;H820;2;0;1;1;2;6
Nord Ovest;Piemonte;BI;H821;0;1;4;7;8;20
Sud;Puglia;BR;H822;4;3,8;6,83;5,5;8;28,13
Nord Est;Veneto;VE;H823;9,33;124,07;142,47;97,8;115,56;489,23
Centro;Lazio;FR;H824;6;2;2;3,74;4;17,74
Sud;Calabria;CS;H825;0;0;1;2,33;0;3,33
Sud;Puglia;LE;H826;3;1,67;3,5;1;7,65;16,82
Nord Ovest;Lombardia;MI;H827;35,34;173,34;135,86;57,75;31,42;433,71
Nord Est;Veneto;VI;H829;4;12,5;14,5;14,23;19,67;64,9
Sud;Basilicata;PZ;H831;1;8,5;7,33;1,5;0,5;18,83
Sud;Molise;CB;H833;1;2;0;1;2;6
Sud;Campania;CE;H834;9;7,72;21,88;11;15,66;65,26
Nord Est;Emilia-Romagna;MO;H835;0;20,39;21,76;29,33;22,83;94,31
Centro;Lazio;LT;H836;18,17;33,59;30,92;18;20,07;120,75
Nord Ovest;Lombardia;BS;H838;6;17,6;13,67;10;21,22;68,49
Sud;Puglia;FG;H839;8,78;11,32;25,75;19,5;19;84,35
Nord Ovest;Lombardia;CO;H840;4;27,24;16,17;18;23,58;88,99
Sud;Calabria;CS;H841;2;0;1,97;4,17;1;9,14
Isole;Sicilia;ME;H842;0;3,5;6;3,67;6,5;19,67
Nord Est;Veneto;TV;H843;4;20,5;24;10,23;11;69,73
Nord Ovest;Lombardia;LO;H844;0;1;5;4;5,75;15,75
Sud;Calabria;CZ;H846;0,5;1;2;0;1;4,5
Nord Ovest;Piemonte;TO;H847;2;3;21;8;19;53
Isole;Sardegna;SS;H848;8,5;18;7;5;9;47,5
Isole;Sicilia;ME;H850;0,75;4,88;2;0;3;10,63
Nord Ovest;Piemonte;CN;H851;1;4,17;4;5,5;12;26,67
Nord Ovest;Piemonte;CN;H852;2,67;2,33;8,58;7;2;22,58
Nord Ovest;Piemonte;TO;H855;0;6,17;15;3;9,5;33,67
Isole;Sardegna;CA;H856;1;4;5,75;11,24;14,01;36
Centro;Umbria;TR;H857;5;6,5;11;2,5;12;37
Nord Ovest;Lombardia;PV;H859;2;6;14;15,5;26;63,5
Sud;Campania;NA;H860;1;7,6;8,97;19,5;17,23;54,3
Nord Ovest;Piemonte;VC;H861;0;4;2;3;9;18
Nord Ovest;Piemonte;TO;H862;1;8,11;5;7,67;5,67;27,45
Nord Ovest;Lombardia;BS;H865;2;7,5;9,5;5,5;5;29,5
Sud;Molise;CB;H867;5,33;2;4,93;6;4,5;22,76
Nord Ovest;Lombardia;SO;H868;0;3,37;1,5;2;0;6,87
Nord Ovest;Lombardia;MN;H870;0;3,67;1;1;8;13,67
Nord Ovest;Lombardia;VA;H872;0;3;4,75;6;5,8;19,55
Nord Ovest;Piemonte;TO;H873;0;12;10;9;16;47
Centro;Toscana;SI;H875;5;14,67;22,25;8,25;13,5;63,67
Centro;Marche;MC;H876;0;3,75;4;5;5;17,75
Sud;Calabria;CS;H877;3;9;4;4,5;4,5;25
Nord Ovest;Piemonte;AL;H878;0;1;1,83;3;4;9,83
Centro;Lazio;FR;H880;1;3,5;2;3;2;11,5
Sud;Calabria;CS;H881;2,34;1,5;0;1;2,5;7,34
Sud;Puglia;TA;H882;4;14;28,25;44,17;15,17;105,59
Nord Ovest;Lombardia;MN;H883;6;40,83;43,67;31;34,91;156,41
Nord Ovest;Lombardia;MI;H884;10;30,5;30,33;8;11;89,83
Nord Ovest;Lombardia;PV;H885;0;2;1;0;3,5;6,5
Nord Est;Emilia-Romagna;PC;H887;2;4;9;16,5;20,83;52,33
Sud;Basilicata;MT;H888;3,6;1;1,75;0;1,5;7,85
Sud;Calabria;RC;H889;1;4,71;2;2;1,33;11,04
Nord Ovest;Piemonte;TO;H890;1;4;4;3;11,41;23,41
Nord Est;Friuli- Venezia Giulia;PN;H891;0;0;4;1;11,51;16,51
Sud;Campania;NA;H892;7;69,77;126,82;82,99;24,73;311,31
Nord Est;Veneto;PD;H893;2,5;25;23,5;18,5;24,44;93,94
Sud;Campania;BN;H894;0;10,5;15;22,78;20,66;68,94
Nord Est;Friuli- Venezia Giulia;UD;H895;4;17;19,5;10;17,67;68,17
Nord Est;Emilia-Romagna;BO;H896;4,5;37;45;44;33;163,5
Nord Est;Veneto;PD;H897;0;17,5;6;6,5;25,18;55,18
Sud;Campania;BN;H898;0,73;1,47;1;2;0,5;5,7
Nord Ovest;Piemonte;AT;H899;0;0;0;0;1;1
Nord Ovest;Piemonte;TO;H900;2;1;6,5;1;2;12,5
Centro;Toscana;AR;H901;8,15;48,81;56,23;36,03;13,9;163,12
Sud;Calabria;RC;H903;0;0;1;0;0;1
Nord Est;Friuli- Venezia Giulia;UD;H906;4;10;14,17;11,5;19,51;59,18
Sud;Campania;SA;H907;7;12,03;4,5;6,88;4;34,41
Nord Ovest;Lombardia;BG;H910;4,67;9,25;20,3;13,61;8,33;56,16
Nord Ovest;Lombardia;MN;H912;0;1;3;1;3,5;8,5
Centro;Lazio;VT;H913;3;4;0;0;3;10
Isole;Sicilia;AG;H914;6;8;8,5;10,42;3;35,92
Nord Est;Veneto;VR;H916;0;2,23;7,22;9,45;13;31,9
Centro;Lazio;FR;H917;3;1;3,17;4;2;13,17
Nord Ovest;Lombardia;CR;H918;0;2;3,67;0;13,67;19,34
Sud;Calabria;CS;H919;4,09;17,75;14;20;7;62,84
Sud;Molise;CB;H920;2;1;0;1;1;5
Nord Est;Emilia-Romagna;RN;H921;10;22,66;26,5;18,75;14,67;92,58
Isole;Sicilia;CT;H922;3;22,92;57,5;56,17;58,22;197,81
Sud;Abruzzo;CH;H923;0;0;2;0;0;2
Nord Est;Veneto;VR;H924;2;67,06;104,5;56,22;66,59;296,37
Sud;Puglia;FG;H926;15,17;39,11;52,45;37,2;22,75;166,68
Sud;Molise;CB;H928;0;1;1;2;2;6
Sud;Molise;CB;H929;0,75;2,33;0;2;2;7,08
Nord Ovest;Lombardia;MI;H930;59;357,32;177,08;51,5;32,5;677,4
Sud;Campania;NA;H931;8,94;10;12,25;16,72;18,75;66,66
Isole;Sicilia;PA;H933;3;10,44;5,17;8;17,33;43,94
Centro;Umbria;PG;H935;3;15,5;22,5;28,5;16,5;86
Nord Ovest;Piemonte;TO;H936;1;4;3;4;10,25;22,25
Centro;Toscana;FI;H937;1;3,5;7;3;0;14,5
Nord Est;Veneto;BL;H938;0;2;2,5;2;7,5;14
Sud;Campania;CE;H939;3;0;0;0;0,25;3,25
Isole;Sicilia;CT;H940;1,5;9;15,36;26,95;24,17;76,98
Sud;Calabria;VV;H941;0;1,17;1;0;4;6,17
Centro;Lazio;RM;H942;1;3;2;1;2;9
Sud;Campania;SA;H943;7;2;1;1;3;14
Nord Est;Veneto;VR;H944;0;9,5;10;9;23;51,5
Nord Est;Emilia-Romagna;BO;H945;25,92;159,1;112,01;58,86;50,93;406,82
Nord Est;Emilia-Romagna;RN;H949;2,5;5,11;5;2;6,5;21,11
Nord Est;Friuli- Venezia Giulia;UD;H951;1;0,5;3,5;0;1;6
Sud;Campania;BN;H953;0;4,89;2;2;5,5;14,39
Sud;Campania;BN;H955;0;0;1;2,67;3,66;7,33
Nord Ovest;Liguria;IM;H957;13;8;3;1;1;26
Centro;Marche;PS;H958;1;0;5;5;9,5;20,5
Sud;Calabria;RC;H959;0;5,5;0;0;1,67;7,17
Sud;Calabria;CS;H961;1;0;1;1;0;3
Sud;Calabria;CS;H962;0;1;1;5;3;10
Sud;Campania;BN;H967;1,5;0,5;0;1;2;5
Centro;Lazio;VT;H969;3;3;4;1,5;3,33;14,83
Sud;Calabria;RC;H970;0;1;0;0;3;4
Sud;Calabria;CS;H971;9,53;17,83;4,67;8,5;6,83;47,36
Sud;Campania;BN;H973;0;0;0;0;4;4
Isole;Sardegna;CA;H974;2;6,14;15,05;7,5;15;45,69
Sud;Campania;AV;H975;0;0;0;1;0;1
Sud;Calabria;CZ;H976;0;1;0,75;1;3;5,75
Sud;Campania;SA;H977;1;1;9,5;5;3,67;20,17
Sud;Campania;CE;H978;1;8,22;26;24;19,18;78,4
Centro;Marche;AN;H979;0;2;2;3,67;7,13;14,8
Sud;Calabria;CS;H981;3;2;3,33;6;7,5;21,83
Isole;Sicilia;ME;H982;1;0;0;0;1,8;2,8
Sud;Campania;BN;H984;0;0;2,75;0,33;6;9,08
Sud;Puglia;FG;H985;31,86;30,32;36,24;15,42;7,33;121,17
Sud;Puglia;FG;H986;3,5;2;2;2;2;11,5
Nord Ovest;Piemonte;AT;H987;0;0;3;1;8,5;12,5
Sud;Molise;CB;H990;2;5;4,34;4,5;2;17,84
Sud;Abruzzo;CH;H991;0;0;0;0;2;2
Sud;Calabria;CS;H992;0;3;4;0;0;7
Sud;Basilicata;PZ;H994;1;1;0;0;1;3
Nord Est;Veneto;RO;H996;0;5;7,67;6,84;16,61;36,12
Nord Ovest;Piemonte;TO;H997;2;1;2;2;7;14
Nord Est;Friuli- Venezia Giulia;PN;H999;0;4;2;4;6;16
Sud;Campania;BN;I002;0;1;2;1;4;8
Nord Est;Veneto;VR;I003;9;54,3;108,84;63,75;49,46;285,35
Nord Ovest;Lombardia;MN;I005;0,5;2;2,83;0;7,57;12,9
Nord Ovest;Lombardia;CR;I007;0;0;0;0;3;3
Nord Est;Veneto;PD;I008;2;16;15,92;17;45,87;96,79
Nord Est;Emilia-Romagna;RE;I011;4;47,5;30,07;15,5;24,84;121,91
Nord Ovest;Lombardia;LO;I012;4;13;8,75;4;4;33,75
Nord Ovest;Lombardia;PV;I014;13;30;35,5;19;4;101,5
Sud;Campania;AV;I016;6;13,5;7;3;11,84;41,34
Nord Ovest;Piemonte;AT;I017;0;0;0,5;1;8,4;9,9
Sud;Puglia;TA;I018;2;9;10,75;7;6;34,75
Sud;Campania;SA;I019;9,95;13,92;12,85;15,75;9,2;61,67
Sud;Molise;CB;I023;7;8,11;1;0;0;16,11
Nord Ovest;Piemonte;TO;I024;1;25,5;33,5;19;34;113
Nord Ovest;Piemonte;NO;I025;1;1;4,83;5;6,37;18,2
Sud;Calabria;KR;I026;0;2;1,8;0;0;3,8
Nord Est;Emilia-Romagna;FO;I027;10,22;43,5;34;25;18,94;131,66
Isole;Sicilia;PA;I028;0;1;1;1,92;0,91;4,83
Sud;Basilicata;MT;I029;2;3,9;0;1;1;7,9
Nord Ovest;Piemonte;TO;I030;8,8;70,6;95,34;33,5;34,58;242,82
Sud;Campania;SA;I031;2,33;8;3,5;3;4;20,83
Sud;Campania;SA;I032;0;1,13;0;0;0;1,13
Sud;Campania;AV;I034;0;2;6;1;2,5;11,5
Isole;Sicilia;CT;I035;0;3;2;8;2;15
Nord Ovest;Piemonte;CN;I037;1;5;4;1;3;14
Nord Est;Veneto;VE;I040;200,77;173,79;40,77;14,55;38,1;467,98
Sud;Puglia;BR;I045;10;9,5;9,05;4,5;6,5;39,55
Centro;Toscana;PI;I046;12;39,49;60,5;64,33;68,72;245,04
Nord Ovest;Lombardia;PV;I048;0,75;16;16;5,33;10,62;48,7
Sud;Campania;BN;I049;0;0;0;1,67;4,2;5,87
Nord Ovest;Lombardia;CO;I051;0;1;0;0;0;1
Nord Ovest;Piemonte;NO;I052;0;0;1,5;0;1;2,5
Sud;Puglia;BA;I053;6;16;20;5,44;17;64,44
Sud;Puglia;FG;I054;10,34;17,87;20,06;20,83;14,95;84,05
Sud;Campania;CE;I056;6,63;9,75;46;68;31,49;161,87
Sud;Calabria;KR;I057;0;0;0;0;0;0
Sud;Calabria;VV;I058;3;0;2;0;0;5
Sud;Puglia;LE;I059;10;11,94;11;11;10,11;54,05
Sud;Calabria;CS;I060;20,5;56;14,31;2;4;96,81
Sud;Campania;AV;I061;1;0;0;0;0;1
Sud;Campania;BN;I062;0,25;5;7;8;8,75;29
Nord Est;Veneto;BL;I063;1,78;1;1,78;1;1;6,56
Sud;Puglia;BR;I066;4;4;8,15;9,63;9;34,78
Centro;Marche;AN;I071;1;1;3;1;2;8
Sud;Puglia;FG;I072;7;11;13,17;14;5;50,17
Sud;Campania;NA;I073;0;4;9,5;2;9,5;25
Nord Ovest;Piemonte;AT;I076;0;0;0;1;11;12
Nord Ovest;Lombardia;BG;I079;1;15,39;11,7;7,03;9,48;44,6
Isole;Sicilia;ME;I084;0;5;2,67;2,5;2,5;12,67
Isole;Sicilia;ME;I086;3;6;2,67;4;4;19,67
Nord Est;Veneto;BL;I088;3;6;7,44;2;4,75;23,19
Sud;Campania;SA;I089;0;0;0;3;6,8;9,8
Nord Ovest;Piemonte;TO;I090;1;3;2;3;8;17
Nord Est;Friuli- Venezia Giulia;UD;I092;0;5;4;2;3,67;14,67
Sud;Calabria;CZ;I093;1;3,75;5,11;1;1,67;12,53
Sud;Calabria;CZ;I095;1;1;0;3;0;5
Sud;Molise;IS;I096;0;4,45;2;1;0,67;8,12
Isole;Sicilia;CT;I098;1,8;8;31,62;26,83;13,83;82,08
Sud;Calabria;RC;I102;0;1;1,5;0;1;3,5
Nord Est;Veneto;TV;I103;2;1,67;7,39;6;12,56;29,62
Nord Est;Veneto;VR;I105;0;11;11;0;13,67;35,67
Nord Est;Veneto;PD;I107;1;1;4,5;3;15,67;25,17
Sud;Calabria;CS;I108;1;0,67;0;0;0;1,67
Nord Est;Veneto;VR;I109;1;32,5;35,17;20,83;40,67;130,17
Nord Est;Emilia-Romagna;BO;I110;9;62,78;67;32;24,9;195,68
Sud;Campania;CE;I113;0;0;0;1;0;1
Sud;Calabria;CS;I114;2;4,17;4,25;1,17;0;11,59
Sud;Puglia;LE;I115;2;4,91;3;5;7,44;22,35
Nord Ovest;Piemonte;NO;I116;0;2;4;2,75;1,5;10,25
Nord Est;Veneto;VI;I117;1;5;2;2;3;13
Isole;Sardegna;CA;I118;0;3,5;4,88;3;3;14,38
Sud;Puglia;BR;I119;6,5;8,17;18,28;20,34;8,09;61,38
Nord Est;Veneto;PD;I120;1;8;5,5;5;7,8;27,3
Sud;Abruzzo;AQ;I121;0;0;0;0;0;0
Sud;Molise;CB;I122;0;0;0;0;1;1
Nord Est;Emilia-Romagna;RE;I123;0;12,25;17;6,77;15,86;51,88
Nord Est;Veneto;TV;I124;3;5;7;2,67;18,15;35,82
Centro;Lazio;RM;I125;2,33;5,5;6,58;6;3;23,41
Nord Ovest;Piemonte;TO;I126;0;0;0;0;2;2
Nord Est;Emilia-Romagna;MO;I128;1;1,5;6;2;6;16,5
Sud;Campania;AV;I129;0;0;4;0,5;4;8,5
Sud;Campania;CE;I130;0;1;3;1;2;7
Sud;Campania;CE;I131;3,2;3,83;10,17;18,95;20,2;56,35
Sud;Calabria;RC;I132;5;0;0;1;0;6
Nord Est;Emilia-Romagna;MO;I133;0;10;11,67;7;17;45,67
Centro;Toscana;SI;I135;2;7;8;8;7,5;32,5
Nord Est;Friuli- Venezia Giulia;PN;I136;2;3,5;7;8,13;20,11;40,74
Nord Ovest;Piemonte;TO;I137;2;3;6,3;3;22,5;36,8
Nord Ovest;Liguria;IM;I138;253,42;379,18;199,99;66,04;52,44;951,07
Sud;Calabria;RC;I139;0;1;1;0;2;4
Nord Ovest;Lombardia;LO;I140;5,57;8,2;7,5;7;5,5;33,77
Centro;Toscana;LU;I142;0;0;3,5;1;2;6,5
Sud;Campania;SA;I143;1;1,12;4;1,06;0;7,18
Nord Ovest;Piemonte;AL;I144;1;4;5;6,22;17,75;33,97
Sud;Campania;BN;I145;1;6;6;7,69;8;28,69
Isole;Sicilia;ME;I147;1;0;0;0,83;0;1,83
Sud;Abruzzo;CH;I148;16,89;63,75;51,33;45,3;13,5;190,77
Nord Ovest;Piemonte;AL;I150;0;2;0;0;1;3
Sud;Campania;NA;I151;0;12,5;10,67;20;15,5;58,67
Nord Ovest;Piemonte;TO;I152;0;1,67;2;4;12,34;20,01
Nord Est;Emilia-Romagna;PR;I153;0;11,13;21;14,5;31,5;78,13
Nord Ovest;Piemonte;TO;I154;1;10;13;8;20,5;52,5
Centro;Toscana;AR;I155;2;28,83;35;22,03;37,17;125,03
Centro;Marche;MC;I156;3;11,33;34;21,5;15;84,83
Sud;Basilicata;PZ;I157;0;1;0;0;5;6
Sud;Puglia;FG;I158;33,53;87,81;131,28;102,04;79,23;433,89
Nord Ovest;Lombardia;CO;I162;16;16;9;5;2;48
Sud;Campania;AV;I163;0;2,89;4;0;3;9,89
Sud;Calabria;CZ;I164;1,5;18,43;1;0;1;21,93
Sud;Calabria;CS;I165;0;3;2;0;0;5
Isole;Sardegna;CA;I166;3;11;25;19,25;11,11;69,36
Nord Ovest;Lombardia;BG;I168;3,86;3,67;2;3;3;15,53
Isole;Sicilia;CL;I169;13;10,25;6;4;10,33;43,58
Sud;Calabria;CZ;I170;6;8;1;3;5;23
Sud;Calabria;CS;I171;0;0;1,5;0;0,5;2
Sud;Puglia;LE;I172;15;6;5;4,33;2;32,33
Isole;Sicilia;PA;I174;1;0;2;1;2;6
Nord Ovest;Lombardia;PV;I175;1;2;1;3,5;1;8,5
Sud;Calabria;RC;I176;0;0;1;1;0;2
Centro;Toscana;PI;I177;5;22,5;47,38;20;24,5;119,38
Isole;Sicilia;RG;I178;12,36;66,5;43,25;23;12,5;157,61
Sud;Campania;BN;I179;0;0;0;1;5;6
Sud;Molise;CB;I181;2;3,5;0;2;2;9,5
Isole;Sardegna;CA;I182;0;3,75;2,75;2,68;3,5;12,68
Sud;Calabria;CS;I183;1;0;1;1;1;4
Isole;Sicilia;ME;I184;0;2;0;1;2;5
Isole;Sicilia;AG;I185;1;4;5;1;3;14
Centro;Toscana;GR;I187;8;11;15;8;14;56
Isole;Sicilia;PA;I188;11,8;23,17;23;18,12;26,34;102,43
Sud;Molise;IS;I189;0;1;1;0;2;4
Nord Ovest;Piemonte;AL;I190;0,4;0,4;0;0;0,58;1,38
Nord Est;Emilia-Romagna;BO;I191;3;31,5;21,5;7,5;12,4;75,9
Sud;Calabria;CS;I192;0,67;2;2;1;0;5,67
Sud;Puglia;FG;I193;10,11;9,5;5;3;0,75;28,36
Nord Est;Emilia-Romagna;RA;I196;2;8,33;16;13,67;11,38;51,38
Sud;Campania;BN;I197;5,9;4;5;2;16;32,9
Sud;Calabria;RC;I198;1;0;1;0;0;2
Isole;Sicilia;ME;I199;7;26;16,67;24,88;8;82,55
Nord Est;Emilia-Romagna;RN;I201;1;5,71;9;7,88;7,5;31,09
Isole;Sicilia;CT;I202;1,5;10,5;16;21,17;31,03;80,2
Nord Ovest;Lombardia;PV;I203;0;0;1;2;7;10
Isole;Sardegna;OR;I205;3;2;5;6;6,75;22,75
Nord Est;Veneto;BL;I206;2;8,62;16,83;14,5;26,94;68,89
Nord Est;Veneto;PD;I207;1;13,38;6,5;8,5;19,67;49,05
