AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Sud;Abruzzo ;AQ;H400;5;12;3;2;0;22
Centro;Lazio;RM;H401;2;2,33;0,33;0;1;5,66
Sud;Abruzzo ;AQ;H402;20;37,06;8;7,69;3;75,75
Sud;Calabria;KR;H403;0;2;1,67;4,67;4;12,34
Centro;Lazio;RM;H404;10,38;60,34;25,5;19;26;141,22
Isole;Sicilia;ME;H405;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;H406;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;H407;5,7;9;6;3;5,5;29,2
Sud;Calabria;RC;H408;0;0;0;0;0;0
Sud;Puglia;TA;H409;0;2,75;2;4;0;8,75
Nord Ovest;Lombardia;BS;H410;1;4;3,5;4;7,78;20,28
Centro;Lazio;RM;H411;1,5;1;0;1;0;3,5
Sud;Campania;SA;H412;1;3;2;1;1;8
Centro;Lazio;LT;H413;7;6;2;1;2;18
Nord Ovest;Piemonte;AL;H414;0;2;3,5;4;9,05;18,55
Sud;Calabria;CS;H416;2;12,5;5;6,61;2,61;28,72
Centro;Toscana;GR;H417;1;7;5;1;2;16
Isole;Sicilia;ME;H418;10;35,2;14;7;6,5;72,7
Sud;Molise;IS;H420;0;2,5;1;2;1;6,5
Centro;Lazio;LT;H421;2;3;2;0;1;8
Isole;Sicilia;PA;H422;0;1;3;3;2,67;9,67
Sud;Campania;CE;H423;2;0;5,48;2;7,4;16,88
Sud;Abruzzo ;CH;H424;0;0;1;1;0;2
Sud;Abruzzo ;PE;H425;1;2;1;0;3,86;7,86
Sud;Basilicata;PZ;H426;3;2;1;0,75;0;6,75
Centro;Lazio;RI;H427;1;2;0,5;0;0;3,5
Isole;Sicilia;PA;H428;0;5,93;5;3,5;1,33;15,76
Sud;Abruzzo ;AQ;H429;2,5;3;1;1;1;8,5
Sud;Campania;SA;H431;2,5;10;7,5;15,67;14,33;50
Centro;Lazio;RM;H432;8;23,6;20,5;12,54;27,83;92,47
Sud;Campania;NA;H433;1,25;6,25;2;6;7,11;22,61
Sud;Abruzzo ;AQ;H434;33,26;39;6,5;3,58;1;83,34
Sud;Campania;CE;H436;2;0;1;1;0;4
Nord Est;Emilia-Romagna;FO;H437;0;5;1;3;7,5;16,5
Sud;Campania;AV;H438;0;4,33;0;1,17;0;5,5
Sud;Abruzzo ;CH;H439;1;3;0;0;4,5;8,5
Sud;Abruzzo ;TE;H440;1;3,75;0;0;0;4,75
Centro;Lazio;RM;H441;1;4;3;2;1;11
Sud;Abruzzo ;CH;H442;0;1;1;0;3;5
Centro;Lazio;FR;H443;3;0;6,44;5,5;12,19;27,13
Centro;Lazio;LT;H444;1;2;1;2;0;6
Sud;Molise;IS;H445;0;1;1;0;2;4
Centro;Lazio;RI;H446;4;1;1;1;3;10
Nord Ovest;Piemonte;CN;H447;1;3;0,67;0;2;6,67
Sud;Abruzzo ;CH;H448;0;3;1;3;7;14
Centro;Toscana;GR;H449;10,34;20;26;7,33;11;74,67
Nord Ovest;Lombardia;PV;H450;0;2;0;0;3;5
Nord Ovest;Piemonte;AT;H451;0;3;3;0;2,13;8,13
Nord Ovest;Liguria;SV;H452;0;0;1;4;2;7
Nord Ovest;Piemonte;CN;H453;9;5,17;7,33;4;4;29,5
Sud;Molise;CB;H454;0;0;0;0;0;0
Isole;Sicilia;ME;H455;0;0,75;0;0,9;0;1,65
Sud;Calabria;RC;H456;5;12;5;3;4;29
Sud;Molise;IS;H458;2;2;0;0;1,83;5,83
Sud;Campania;CE;H459;0;1;1;0;0;2
Nord Ovest;Liguria;IM;H460;2;2,5;0;0;1;5,5
Nord Ovest;Liguria;SP;H461;2;3;1,83;1;0;7,83
Nord Ovest;Piemonte;CN;H462;0;0;1;2;0,5;3,5
Nord Ovest;Piemonte;AL;H465;0;1;0;0;3;4
Nord Ovest;Piemonte;AT;H466;1;0;0;0;4,5;5,5
Sud;Puglia;FG;H467;3;6;2;1;0,33;12,33
Nord Ovest;Piemonte;AT;H468;3;2;1;2;4;12
Nord Ovest;Lombardia;MI;H470;0;9,33;13,67;12,83;17;52,83
Nord Ovest;Piemonte;CN;H472;0;3;2;2;3,75;10,75
Nord Ovest;Piemonte;CN;H473;0;2;1;4;4;11
Nord Ovest;Piemonte;CN;H474;0;0;3;0;3;6
Nord Ovest;Lombardia;BS;H477;2;29,11;38,08;31,5;29;129,69
Nord Ovest;Lombardia;CO;H478;0;6,5;2;2;1,5;12
Isole;Sicilia;ME;H479;0;1;2;1;2;6
Sud;Puglia;FG;H480;17,19;22,29;9,2;1,11;4;53,79
Nord Ovest;Lombardia;MN;H481;0;2;6;8,25;9,17;25,42
Nord Ovest;Lombardia;BS;H484;3,32;11;7,5;6;8;35,82
Sud;Campania;SA;H485;3;1;0;1;1;6
Nord Ovest;Lombardia;LC;H486;0;5;9;6,5;2;22,5
Sud;Calabria;CS;H488;8;9;5;8;4,06;34,06
Sud;Calabria;RC;H489;0;4;4;4;0;12
Sud;Calabria;CS;H490;0;4;5;7,5;3,67;20,17
Nord Ovest;Lombardia;PV;H491;0;0;1,4;1;1;3,4
Nord Ovest;Lombardia;BG;H492;2;11;8;5,25;3,67;29,92
Nord Ovest;Lombardia;SO;H493;0;2;1;0,5;0,03;3,53
Centro;Lazio;RM;H494;0;2;1;0;0;3
Sud;Abruzzo ;CH;H495;0;0;0;0;1;1
Nord Ovest;Valle d'Aosta;AO;H497;0;0;1;0;1;2
Nord Ovest;Piemonte;TO;H498;0;1,67;1;4,5;10,5;17,67
Nord Est;Emilia-Romagna;RE;H500;1;5;5;7;14,5;32,5
Centro;Lazio;RM;H501;2909,39;12950,1;9157,42;4047,08;3047,57;32111,56
Nord Ovest;Piemonte;NO;H502;1;5;4;2,67;5;17,67
Sud;Campania;SA;H503;0;0;0;0;0,06;0,06
Nord Ovest;Lombardia;PV;H505;3;2;4;0;2;11
Isole;Sardegna;SS;H507;0;0;0;0;1;1
Nord Ovest;Lombardia;CR;H508;0,22;8;7,22;6;1;22,44
Nord Ovest;Lombardia;BG;H509;13;71,25;82,45;57,5;36,64;260,84
Nord Ovest;Piemonte;TO;H511;0;3;11;1;7,16;22,16
Nord Est;Veneto;VI;H512;3,5;27,97;24,11;12,83;41,59;110
Sud;Calabria;VV;H516;7;1;2;1;3,5;14,5
Nord Ovest;Piemonte;NO;H518;0;23,33;18,33;11,5;12,83;65,99
Isole;Sicilia;ME;H519;3,87;29,26;25;10,42;13;81,55
Nord Ovest;Lombardia;CO;H521;0;0;4;5;3,08;12,08
Nord Est;Veneto;VR;H522;0;2,17;8,5;5,17;6,67;22,51
Nord Est;Veneto;TV;H523;2,5;32,11;56,5;31,5;46,15;168,76
Nord Ovest;Lombardia;BS;H525;7,5;24,5;26;17,16;13,34;88,5
Nord Ovest;Lombardia;PV;H527;1;4;3;6;2;16
Nord Ovest;Lombardia;MI;H529;6;27,5;29,5;11,5;2,5;77
Nord Est;Friuli- Venezia Giulia;UD;H533;0;2,33;5;4;1,63;12,96
Centro;Lazio;VT;H534;11,33;35,86;38,5;16,77;19,84;122,3
Nord Ovest;Lombardia;BG;H535;2;6,5;2;0;1;11,5
Nord Ovest;Liguria;GE;H536;1,05;6;15,42;6;7;35,47
Nord Ovest;Lombardia;MI;H537;4,95;16,17;14;3,5;4,5;43,12
Nord Ovest;Piemonte;BI;H538;1;2,25;2;2;5;12,25
Nord Ovest;Piemonte;TO;H539;0;5,39;1;2;0,17;8,56
Nord Est;Veneto;VR;H540;1;6;14,83;11,83;28,11;61,77
Nord Ovest;Lombardia;MN;H541;2;9,87;11;16,39;19,22;58,48
Nord Est;Emilia-Romagna;FO;H542;1;10;7;2;12,25;32,25
Nord Ovest;Lombardia;BG;H544;6,5;6;1;2;1,5;17
Nord Ovest;Liguria;GE;H546;0;0;1;0;0;1
Nord Ovest;Piemonte;TO;H547;1;4;9;4;14;32
Nord Ovest;Piemonte;VC;H549;2;1;2;2;3;10
Nord Ovest;Piemonte;BI;H553;0;2;0;2;1,17;5,17
Nord Ovest;Piemonte;TO;H554;1;1;0;3;2,5;7,5
Nord Ovest;Piemonte;TO;H555;7;7,5;5;1;3;23,5
Nord Est;Veneto;VI;H556;2;18;29;28;52,28;129,28
Sud;Calabria;RC;H558;3;11,78;6,5;8,11;8;37,39
Nord Ovest;Lombardia;PV;H559;0;2;0;0;3;5
Nord Ovest;Lombardia;MI;H560;4;25;17;10;17,67;73,67
Nord Ovest;Piemonte;BI;H561;1;0;0;1;1,27;3,27
Sud;Abruzzo ;PE;H562;0;2;2;4,25;14,5;22,75
Sud;Campania;SA;H564;0;2;0;1;0;3
Sud;Calabria;CS;H565;0;2;2;5;3;12
Sud;Abruzzo ;CH;H566;0;0;0;0;0,17;0,17
Sud;Puglia;FG;H568;5;2;2;0;3;12
Nord Ovest;Piemonte;AL;H569;0;1;0;1;7;9
Centro;Toscana;LI;H570;56,01;212,67;141,04;66,37;49,08;525,17
Sud;Calabria;CS;H572;21,5;23,33;6,15;4;1;55,98
Nord Est;Veneto;RO;H573;68,5;59,83;25;23;17,22;193,55
Isole;Sicilia;SR;H574;3,5;11,16;6,76;10,58;10,67;42,67
Centro;Marche;AN;H575;0,5;1;1;1;2;5,5
Nord Ovest;Piemonte;VC;H577;0;2,5;1;1;0;4,5
Nord Ovest;Piemonte;CN;H578;1;1;1;0;2;5
Nord Est;Veneto;VI;H580;0;15;19,33;8,88;26,34;69,55
Nord Ovest;Liguria;GE;H581;2;5;8;2,83;1,5;19,33
Nord Ovest;Piemonte;TO;H583;0;11;15,39;12,45;28,83;67,67
Nord Ovest;Lombardia;BG;H584;2;7,5;3,89;0;0;13,39
Sud;Calabria;CS;H585;1;0;2;0;1;4
Centro;Marche;AP;H588;0;1;1;0;1;3
Sud;Molise;CB;H589;1;1,14;1,5;1;1,14;5,78
Sud;Basilicata;PZ;H590;1;5,77;2,08;5,48;3,67;18
Sud;Basilicata;MT;H591;1;5,5;4,14;1,14;4;15,78
Sud;Campania;AV;H592;3,33;2;7;3;6,84;22,17
Nord Est;Emilia-Romagna;PC;H593;3;31,5;41;33,67;27,83;137
Nord Est;Veneto;VI;H594;4,13;6,2;2,35;0;2;14,68
Nord Ovest;Lombardia;BS;H598;8;45,87;62;34,09;39,81;189,77
Nord Ovest;Liguria;GE;H599;0,5;6,17;3;2;5;16,67
Nord Ovest;Lombardia;CO;H601;2;31;42,5;12;14,67;102,17
Nord Ovest;Lombardia;CO;H602;2,74;14,5;12,58;5,5;7;42,32
Nord Ovest;Lombardia;MN;H604;5;9;14,83;15,67;30;74,5
Nord Est;Veneto;VR;H606;3;2;2;2;7;16
Nord Est;Veneto;VR;H608;1;8;2;4;6,56;21,56
Nord Est;Friuli- Venezia Giulia;PN;H609;1;12,5;19,5;8;35,56;76,56
Nord Est;Veneto;VR;H610;0;3;1,5;5;5,2;14,7
Nord Ovest;Lombardia;PV;H614;0;3;3;3;5,08;14,08
Nord Ovest;Lombardia;BG;H615;5;22;17;5;6,17;55,17
Centro;Lazio;RM;H618;2;1;6;3;0,5;12,5
Nord Est;Veneto;RO;H620;56,86;172,11;146,71;118,72;112,89;607,29
Sud;Calabria;CS;H621;0,92;1;1;2;1,92;6,84
Nord Est;Veneto;PD;H622;0;9;12,5;4,5;20;46
Nord Ovest;Lombardia;MI;H623;42,49;259,48;124,22;31,67;15,47;473,33
Nord Est;Veneto;PD;H625;2;28;64,67;53,25;63,94;211,86
Nord Ovest;Piemonte;TO;H627;6;7,01;9,67;3,67;6;32,35
Nord Est;Emilia-Romagna;RE;H628;14,83;66,75;56,83;21,5;24,17;184,08
Nord Ovest;Lombardia;BS;H630;0;22,33;16,66;2,17;18,3;59,46
Nord Ovest;Piemonte;TO;H631;1;1;5;2;7,13;16,13
Sud;Puglia;LE;H632;12,5;8,83;6;10,5;16;53,83
Nord Ovest;Piemonte;CN;H633;0;0;0;0;0;0
Centro;Toscana;FI;H635;2,67;21,13;23,5;10,37;17,5;75,17
Nord Ovest;Lombardia;PV;H637;0;0;1;0;3,33;4,33
Sud;Basilicata;PZ;H641;1;2;1;1;0;5
Nord Est;Emilia-Romagna;RA;H642;4;35;36,25;19,33;23,63;118,21
Sud;Puglia;BA;H643;8;23,01;37,67;23,5;10,1;102,28
Sud;Campania;SA;H644;0;0;1;0;0;1
Sud;Puglia;BA;H645;23,65;65,44;84,41;53,88;29,25;256,63
Sud;Basilicata;PZ;H646;0;3;1;1;0;5
Centro;Lazio;LT;H647;9,5;80;61,5;34,4;26,5;211,9
Nord Ovest;Lombardia;BS;H650;1;2;9;12;11;35
Nord Ovest;Lombardia;MN;H652;0;0;5;3;10;18
Sud;Campania;SA;H654;0;0;0;0;1;1
Nord Est;Veneto;PD;H655;0;4,5;5,67;7,44;10,67;28,28
Nord Est;Friuli- Venezia Giulia;PN;H657;6;32,57;83,83;50,5;73,34;246,24
Centro;Lazio;RM;H658;3;12;13,25;11,35;16,7;56,3
Isole;Sardegna;NU;H659;0;0;1;1;3;5
Isole;Sardegna;NU;H661;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;H662;2;6;4;0,5;5;17,5
Nord Ovest;Valle d'Aosta;AO;H669;0;2;6;4;4;16
Nord Ovest;Valle d'Aosta;AO;H670;3,33;1;0;0;0;4,33
Nord Ovest;Valle d'Aosta;AO;H671;0;6;2;2;3;13
Nord Ovest;Valle d'Aosta;AO;H672;2;3;0;0;0;5
Nord Ovest;Valle d'Aosta;AO;H673;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;H674;5,5;17;7;7;5;41,5
Nord Ovest;Valle d'Aosta;AO;H675;0;2;1;0;0;3
Nord Ovest;Valle d'Aosta;AO;H676;22;23,5;8,67;3;2,5;59,67
Nord Ovest;Piemonte;AL;H677;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;H678;8;47,67;41,5;16,5;23;136,67
Nord Ovest;Lombardia;CO;H679;3;5;1;0;1;10
Nord Ovest;Piemonte;BI;H681;2,5;2;2;1,5;9;17
Nord Est;Emilia-Romagna;PR;H682;3;17,17;26;14,58;18,5;79,25
Sud;Campania;SA;H683;1;0,2;1,5;9;12,67;24,37
Nord Ovest;Piemonte;TO;H684;3;6;5;0;2;16
Sud;Campania;SA;H686;0;2;1;1;0;4
Sud;Basilicata;MT;H687;4;2;3;1;1,85;11,85
Isole;Sicilia;TP;H688;0;0;1;0;0;1
Nord Est;Veneto;RO;H689;0;1;1;1;2;5
Nord Ovest;Piemonte;VC;H690;0;0;0;0;1,5;1,5
Nord Ovest;Piemonte;TO;H691;0;2,5;2;2;8;14,5
Sud;Molise;CB;H693;1,66;2,67;1,67;1;2;9
Nord Ovest;Piemonte;AL;H694;1;5;6,5;3,5;16,25;32,25
Nord Ovest;Piemonte;CN;H695;0;0;0;1;3;4
Nord Ovest;Lombardia;BS;H699;6;13,5;4;7;8,5;39
Isole;Sicilia;TP;H700;0;9;14,33;12;16,16;51,49
Nord Ovest;Lombardia;LO;H701;1;6,17;5,5;8;3;23,67
Nord Ovest;Piemonte;TO;H702;0;1;0;0;7,67;8,67
Sud;Campania;SA;H703;70,96;297,15;350,75;307,73;229,66;1256,25
Nord Ovest;Piemonte;CN;H704;0;0;2;0;3;5
Nord Est;Veneto;TV;H706;2;10,5;17,5;8;15;53
Nord Ovest;Piemonte;VC;H707;0;0;0;0;0;0
Sud;Puglia;LE;H708;2;3,83;9,38;8;7,23;30,44
Nord Ovest;Piemonte;CN;H710;0;1;2;1;2,67;6,67
Nord Est;Veneto;VR;H712;0;1;2,34;0;3;6,34
Centro;Lazio;RI;H713;0;4;0;1;1;6
Nord Est;Veneto;VR;H714;0;4;4;4,89;13,33;26,22
Sud;Abruzzo ;PE;H715;0;1;2;0;0;3
Nord Ovest;Piemonte;CN;H716;0;0;0;0;1;1
Nord Ovest;Lombardia;BS;H717;10;61,57;55;32,08;29,67;188,32
Nord Est;Emilia-Romagna;PR;H720;27;71,17;88,43;40;42,16;268,76
Nord Ovest;Lombardia;VA;H723;2;3;9;2,5;5;21,5
Nord Est;Emilia-Romagna;RN;H724;0,5;17,33;5,17;4,11;5,5;32,61
Nord Ovest;Piemonte;VC;H725;2;3;7;8,5;9;29,5
Nord Ovest;Piemonte;BI;H726;0;5;4;1;7;17
Nord Ovest;Piemonte;CN;H727;12;49,07;74,13;22,17;29,17;186,54
Sud;Puglia;LE;H729;13,76;35;20,5;6,45;12;87,71
Sud;Basilicata;PZ;H730;5;3;0;0;0;8
Nord Ovest;Lombardia;CR;H731;1;0;4,25;4,25;8;17,5
Sud;Campania;SA;H732;0;0;0,84;1,5;0;2,34
Sud;Campania;AV;H733;0;1;0;0;0;1
Nord Ovest;Piemonte;TO;H734;0;1;0;0;0;1
Nord Est;Veneto;VE;H735;6;42,51;41,6;26,94;42,47;159,52
Nord Ovest;Lombardia;VA;H736;3;49;34,99;32,66;24,17;143,82
Isole;Sardegna;CA;H738;1;0;2;7;14,5;24,5
Isole;Sardegna;CA;H739;0;0,5;0,5;1;1;3
Isole;Sicilia;AG;H743;1;4;4,5;3,5;10,35;23,35
Centro;Toscana;PT;H744;0;8,83;6,33;7;9,06;31,22
Centro;Lazio;RM;H745;2;3;2,5;0;0;7,5
Nord Ovest;Piemonte;CN;H746;1;1;0;0;0;2
Sud;Puglia;BA;H749;7;5,5;10,89;9,87;11;44,26
Nord Ovest;Lombardia;SO;H752;2,43;2;2,67;2;2,5;11,6
Nord Ovest;Piemonte;TO;H753;0;1;4;0;5;10
Nord Ovest;Piemonte;CN;H755;17,29;21,33;10,67;4,5;7,75;61,54
Isole;Sardegna;OR;H756;0;0;0;2;8,33;10,33
Sud;Puglia;LE;H757;1;2;0;2;2,67;7,67
Nord Ovest;Lombardia;CO;H760;0;1,33;0;1;0;2,33
Nord Ovest;Liguria;IM;H763;54,79;47,48;11,5;3;1;117,77
Sud;Campania;BN;H764;2,5;6,76;7,39;3;5,67;25,32
Sud;Calabria;CS;H765;0;0;0;0;0;0
Isole;Sardegna;CA;H766;0;1;0;0;1;2
Nord Ovest;Lombardia;CR;H767;0;2;2;2;1,24;7,24
Nord Est;Veneto;RO;H768;0;0;2;3;3,5;8,5
Centro;Marche;AP;H769;43,4;200,83;125,27;70,89;59,78;500,17
Nord Ovest;Piemonte;CN;H770;0;1;0;0;1;2
Nord Ovest;Lombardia;MN;H771;0,66;5;8,58;3,5;22,58;40,32
Sud;Abruzzo ;AQ;H772;1;7;2,5;4;0;14,5
Sud;Abruzzo ;AQ;H773;0;0;0;1;0;1
Sud;Calabria;CS;H774;0;0;0;1;4;5
Nord Ovest;Piemonte;TO;H775;2;13,5;31,4;24;24;94,9
Nord Ovest;Piemonte;VB;H777;0;0;3;3;1;7
Isole;Sicilia;AG;H778;2;2;4;3;8;19
Centro;Lazio;FR;H779;1;0;1;1;1;4
Nord Ovest;Liguria;IM;H780;1,17;3,5;3;1;1;9,67
Nord Est;Veneto;TV;H781;1;39,33;24;17,04;28,33;109,7
Sud;Molise;CB;H782;0;1;0;0;0,5;1,5
Nord Est;Veneto;VR;H783;19,17;59,42;63;28,83;50,25;220,67
Sud;Abruzzo ;CH;H784;3;0;3;2;0;8
Sud;Calabria;VV;H785;1,5;0,33;2,5;0;3,93;8,26
Nord Ovest;Piemonte;TO;H789;0,5;2;9;9;20;40,5
Centro;Toscana;SI;H790;0;4,08;2;6;7,01;19,09
Centro;Toscana;FI;H791;5,1;23,14;36,65;26,17;27,85;118,91
Isole;Sicilia;CL;H792;12;41,74;49,89;55,25;14,63;173,51
Sud;Puglia;LE;H793;2,96;20;20,6;14,5;13;71,06
Nord Est;Emilia-Romagna;MO;H794;8,5;26,74;23;13,25;11,25;82,74
Sud;Basilicata;PZ;H795;0;1,8;1;0;0;2,8
Sud;Basilicata;PZ;H796;0,37;1;1;1;0;3,37
Isole;Sicilia;PA;H797;1,5;2;3;6,5;13;26
Sud;Campania;CE;H798;2;6;5;3,5;21,66;38,16
Nord Ovest;Lombardia;PV;H799;0;0;1;3;3;7
Sud;Campania;SA;H800;1;12;20,67;13,17;10,5;57,34
Nord Est;Emilia-Romagna;RN;H801;4;23,16;24,44;8,75;10;70,35
Nord Ovest;Liguria;GE;H802;5;8,2;7,5;5;4,5;30,2
Nord Ovest;Lombardia;MI;H803;4;21,5;20;7,17;14,5;67,17
Nord Ovest;Piemonte;TO;H804;0;1;0;0;0;1
Isole;Sicilia;CT;H805;2;2;3,83;5;2;14,83
Sud;Calabria;CS;H806;0;0;0;0;0;0
Sud;Calabria;VV;H807;0;1;1;1;0;3
Sud;Basilicata;PZ;H808;0;0,08;1;0;0;1,08
Centro;Marche;PS;H809;1;9,78;12,33;6;10,75;39,86
Nord Ovest;Piemonte;AL;H810;1;0;0;1;1;3
Nord Ovest;Piemonte;AT;H811;1,25;19;16;13,5;41;90,75
Nord Ovest;Piemonte;CN;H812;0;6,9;0;3;2,67;12,57
Nord Ovest;Lombardia;PV;H814;0;1;2;1,17;4,02;8,19
Nord Ovest;Lombardia;CR;H815;0;0;1;0;4,5;5,5
Nord Est;Friuli- Venezia Giulia;UD;H816;1;17,9;15;5,5;28,31;67,71
Sud;Calabria;CS;H818;2;1;2;2;4;11
Sud;Abruzzo ;AQ;H819;2,75;0;3;0,5;3,4;9,65
Nord Ovest;Piemonte;TO;H820;0;0;0,5;1,5;1;3
Nord Ovest;Piemonte;BI;H821;0;1;3,5;6,25;10,52;21,27
Sud;Puglia;BR;H822;1;8,7;8;2;8;27,7
Nord Est;Veneto;VE;H823;19;117,97;161,19;115,77;108,29;522,22
Centro;Lazio;FR;H824;5,5;2;0;0;1;8,5
Sud;Calabria;CS;H825;2;4;1;2;3;12
Sud;Puglia;LE;H826;4,1;4;9;4,66;10,67;32,43
Nord Ovest;Lombardia;MI;H827;26,5;149,13;146,08;61,5;38,58;421,79
Nord Est;Veneto;VI;H829;0;12;14,5;10,5;15,5;52,5
Sud;Basilicata;PZ;H831;4;16;3,5;1;2;26,5
Sud;Molise;CB;H833;0,75;0,13;3,75;1;3,53;9,16
Sud;Campania;CE;H834;15;13;24,4;11;19,67;83,07
Nord Est;Emilia-Romagna;MO;H835;1,97;13,17;24,75;21;28,34;89,23
Centro;Lazio;LT;H836;23;42,54;42,92;23;19,17;150,63
Nord Ovest;Lombardia;BS;H838;7;15,5;20;6,66;13,37;62,53
Sud;Puglia;FG;H839;11,67;21,44;32,94;12,25;16,67;94,97
Nord Ovest;Lombardia;CO;H840;4;25,5;21,5;14,83;25;90,83
Sud;Calabria;CS;H841;0;1;1;1;4,25;7,25
Isole;Sicilia;ME;H842;2;5,67;5,38;15;7,88;35,93
Nord Est;Veneto;TV;H843;0;13;17,5;15;15,33;60,83
Nord Ovest;Lombardia;LO;H844;0;1;12,42;6,16;6,58;26,16
Sud;Calabria;CZ;H846;4,5;1;1;0;0;6,5
Nord Ovest;Piemonte;TO;H847;0;7;7;9;20;43
Isole;Sardegna;SS;H848;8;15,17;7;2,5;4,67;37,34
Isole;Sicilia;ME;H850;1;3,01;0;0;1;5,01
Nord Ovest;Piemonte;CN;H851;0;2;3;6;10;21
Nord Ovest;Piemonte;CN;H852;4;10,75;9,5;1;2;27,25
Nord Ovest;Piemonte;TO;H855;0;11,5;9,28;10;23,61;54,39
Isole;Sardegna;CA;H856;4,86;5;7;11,81;12,64;41,31
Centro;Umbria;TR;H857;1;6,06;10;8;5,5;30,56
Nord Ovest;Lombardia;PV;H859;1;6;11;7;9,5;34,5
Sud;Campania;NA;H860;1,5;1,08;13,17;13,98;18,37;48,1
Nord Ovest;Piemonte;VC;H861;0;1;3;1;4;9
Nord Ovest;Piemonte;TO;H862;1;6;4;2;9;22
Nord Ovest;Lombardia;BS;H865;0;6;7;7,5;9,4;29,9
Sud;Molise;CB;H867;0;4;1;4;3,5;12,5
Nord Ovest;Lombardia;SO;H868;1;0;0;0;0,5;1,5
Nord Ovest;Lombardia;MN;H870;0;0;2;4;5;11
Nord Ovest;Lombardia;VA;H872;0;2;1;0;2;5
Nord Ovest;Piemonte;TO;H873;2;11;8;11;17;49
Centro;Toscana;SI;H875;1;21,5;24,5;11;9;67
Centro;Marche;MC;H876;1;1,5;2;3;7,37;14,87
Sud;Calabria;CS;H877;6;12,58;4,83;1;0;24,41
Nord Ovest;Piemonte;AL;H878;0;0;3,5;3;8;14,5
Centro;Lazio;FR;H880;0;1;3;1;2,11;7,11
Sud;Calabria;CS;H881;0;2;2;3;1;8
Sud;Puglia;TA;H882;0;9;24,34;36,5;17,5;87,34
Nord Ovest;Lombardia;MN;H883;2,5;29,17;39,75;16;32,67;120,09
Nord Ovest;Lombardia;MI;H884;10;28,5;27;11;10,33;86,83
Nord Ovest;Lombardia;PV;H885;0;2;0;3;4;9
Nord Est;Emilia-Romagna;PC;H887;1,5;3,5;9;14;14;42
Sud;Basilicata;MT;H888;7,58;1;0;2,17;1;11,75
Sud;Calabria;RC;H889;0;4;2;3;5;14
Nord Ovest;Piemonte;TO;H890;2;3;6;0;9;20
Nord Est;Friuli- Venezia Giulia;PN;H891;0;2;3;2,5;19;26,5
Sud;Campania;NA;H892;13,32;75,7;129,81;82,85;35,21;336,89
Nord Est;Veneto;PD;H893;1;23;30;9,5;18,75;82,25
Sud;Campania;BN;H894;3;8;16,4;39,5;10,89;77,79
Nord Est;Friuli- Venezia Giulia;UD;H895;1;18,55;23,59;9,5;20,3;72,94
Nord Est;Emilia-Romagna;BO;H896;7;43;35,5;27;24,17;136,67
Nord Est;Veneto;PD;H897;1;9;4;11;13,32;38,32
Sud;Campania;BN;H898;4;4;1;3;1;13
Nord Ovest;Piemonte;AT;H899;0;1;0;1;1;3
Nord Ovest;Piemonte;TO;H900;6;4;2,5;2;4;18,5
Centro;Toscana;AR;H901;9;41,42;61,17;30,67;18;160,26
Sud;Calabria;RC;H903;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;H906;3;8;16;10;23,5;60,5
Sud;Campania;SA;H907;9;13,67;11;2,5;1;37,17
Nord Ovest;Lombardia;BG;H910;3,25;9,23;9,17;14;12,53;48,18
Nord Ovest;Lombardia;MN;H912;0;1;2;0;4,69;7,69
Centro;Lazio;VT;H913;1;2;2;1;0;6
Isole;Sicilia;AG;H914;13;7,75;11;5,25;6,16;43,16
Nord Est;Veneto;VR;H916;1;4;9,39;2;15,92;32,31
Centro;Lazio;FR;H917;2,67;1;4,05;0,08;3,67;11,47
Nord Ovest;Lombardia;CR;H918;0;3;6;5,51;12,83;27,34
Sud;Calabria;CS;H919;7;14,91;25,75;20;11,17;78,83
Sud;Molise;CB;H920;0;0;0;2;2;4
Nord Est;Emilia-Romagna;RN;H921;7;23,5;22,98;10,25;10;73,73
Isole;Sicilia;CT;H922;3;23,7;32,92;54,33;57,32;171,27
Sud;Abruzzo ;CH;H923;0;0;0;0;0;0
Nord Est;Veneto;VR;H924;6;54,52;97,5;56;63,43;277,45
Sud;Puglia;FG;H926;24,84;49,37;44,6;35,44;20,18;174,43
Sud;Molise;CB;H928;2,83;0;1,33;0;1;5,16
Sud;Molise;CB;H929;0;2;2,25;4,25;1;9,5
Nord Ovest;Lombardia;MI;H930;51,68;340,23;148,62;52,79;29;622,32
Sud;Campania;NA;H931;17;27,62;21,33;10;27,13;103,08
Isole;Sicilia;PA;H933;1;2,89;5;8,67;10,5;28,06
Centro;Umbria;PG;H935;4;19,5;15,59;22,34;23,34;84,77
Nord Ovest;Piemonte;TO;H936;0;5;2;2;9;18
Centro;Toscana;FI;H937;0;0;2,88;1;5;8,88
Nord Est;Veneto;BL;H938;0;1;3;2,5;4,25;10,75
Sud;Campania;CE;H939;0;1;2;1;0;4
